timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,,,,,,,,,,,,,,,,,,,
0,10.26983173,6.790995433,4.346673463,2.799968773,0.126673264,13.11465035,14.7221554,15.97270083,16.76990611,17.51118095,,,,,,,,,,,,,,,,,,,
0.010416667,8.407345369,6.415443092,4.276478134,2.778317353,0.112459388,13.89935967,14.87362297,15.99806321,16.77658484,17.51435028,,,,,,,,,,,,,,,,,,,
0.020833333,7.253257339,5.736186607,4.057115803,2.719973268,0.102136858,14.48285547,15.20013647,16.09018301,16.79667497,17.51982172,,,,,,,,,,,,,,,,,,,
0.03125,6.587199433,5.087578806,3.727859678,2.599365585,0.08276117,14.81402193,15.52451137,16.23621255,16.84052995,17.53084383,,,,,,,,,,,,,,,,,,,
0.041666667,6.205878584,4.575942814,3.370209024,2.42419156,0.053086307,15.00323172,15.78418281,16.39953187,16.90658556,17.55111014,,,,,,,,,,,,,,,,,,,
0.052083333,5.967262628,4.112144548,2.967652861,2.165117373,0.010765562,15.12882944,16.01881863,16.58290021,17.00461796,17.59593104,,,,,,,,,,,,,,,,,,,
0.0625,5.810434709,3.789151631,2.633093535,1.915773606,0.006837842,15.21335401,16.18815198,16.74168481,17.10550038,17.65004898,,,,,,,,,,,,,,,,,,,
0.072916667,5.712149263,3.570496058,2.371863309,1.69287811,0.005294605,15.25284709,16.30172641,16.86688668,17.19866732,17.70660836,,,,,,,,,,,,,,,,,,,
0.0833333,5.649219442,3.424572433,2.176604822,1.505151969,0.004494902,15.27670798,16.37558685,16.96127647,17.27895929,17.76577118,,,,,,,,,,,,,,,,,,,
0.09375,5.500455935,3.17822196,1.943886225,1.305081417,0.003624554,15.34821578,16.49259535,17.06689912,17.36182753,17.82864052,,,,,,,,,,,,,,,,,,,
0.104166667,5.385643239,2.99526011,1.757802876,1.139073794,0.003323364,15.40179851,16.58471356,17.15498284,17.43380999,17.88635982,,,,,,,,,,,,,,,,,,,
0.114583333,5.30746413,2.863426775,1.613283225,1.004292895,0.003127758,15.43109596,16.64855063,17.22336605,17.49324703,17.93479795,,,,,,,,,,,,,,,,,,,
0.125,5.253394355,2.769574158,1.503630966,0.897219123,0.00300019,15.43921742,16.69170103,17.27501878,17.5407853,17.97545258,,,,,,,,,,,,,,,,,,,
0.135416667,5.076823147,2.565747621,1.348630244,0.778659017,0.002813016,15.51035485,16.78417615,17.34323673,17.59050775,18.01395471,,,,,,,,,,,,,,,,,,,
0.145833333,4.935249905,2.404458699,1.220690688,0.681213418,0.002733288,15.56917012,16.86083769,17.40234821,17.63346863,18.06011274,,,,,,,,,,,,,,,,,,,
0.15625,4.835350686,2.281111461,1.117352524,0.601947769,0.002673295,15.60346724,16.91679919,17.44941095,17.66823465,18.107958,,,,,,,,,,,,,,,,,,,
0.166666667,4.764829037,2.188401139,1.035486668,0.538260606,0.002631477,15.6208141,16.95759206,17.48697149,17.69660413,18.10534056,,,,,,,,,,,,,,,,,,,
0.177083333,4.824538272,2.043437382,0.929357221,0.469363325,0.002585506,15.59550801,17.02359265,17.53255233,17.72579151,18.08406025,,,,,,,,,,,,,,,,,,,
0.1875,4.864992026,1.953857624,0.845897011,0.413532731,0.002557818,15.57088225,17.06630438,17.57042378,17.7505902,18.07088583,,,,,,,,,,,,,,,,,,,
0.197916667,4.891005728,1.899295765,0.783337725,0.369258985,0.002537347,15.55174935,17.09194832,17.59923426,17.77055717,18.06543916,,,,,,,,,,,,,,,,,,,
0.2083333,4.906625662,1.866182715,0.738034348,0.335011503,0.002523684,15.54753566,17.11002162,17.62163201,17.78608506,18.06438479,,,,,,,,,,,,,,,,,,,
0.21875,4.874080409,1.784831095,0.681254763,0.300399075,0.002517361,15.53551743,17.14249169,17.64567785,17.80167877,18.06309174,,,,,,,,,,,,,,,,,,,
0.229166667,4.839464145,1.724859449,0.636624203,0.273264299,0.002509583,15.54320616,17.17035821,17.66664671,17.81453987,18.062296,,,,,,,,,,,,,,,,,,,
0.239583333,4.811862839,1.680919464,0.602210803,0.252239129,0.002504923,15.54043908,17.18856822,17.68302552,17.82497401,18.06610633,,,,,,,,,,,,,,,,,,,
0.25,4.790210741,1.648668371,0.576072456,0.236162192,0.002502821,15.54912729,17.20537916,17.69707819,17.83363108,18.07642909,,,,,,,,,,,,,,,,,,,
0.260416667,4.897122627,1.612768274,0.548974285,0.221577302,0.002505071,15.48386312,17.2182553,17.70829375,17.84107322,18.08942999,,,,,,,,,,,,,,,,,,,
0.270833333,4.976115743,1.599020869,0.529272891,0.210417054,0.002505714,15.43353234,17.22350789,17.71834197,17.84753294,18.10635698,,,,,,,,,,,,,,,,,,,
0.28125,5.031745342,1.597157804,0.516134319,0.202160095,0.002507577,15.39779685,17.22205124,17.72483748,17.85278177,18.12310759,,,,,,,,,,,,,,,,,,,
0.291666667,5.070407353,1.601033892,0.508125112,0.196328392,0.002510495,15.36991885,17.21957498,17.72988168,17.85711284,18.13702271,,,,,,,,,,,,,,,,,,,
0.302083333,5.419268402,1.682621811,0.524465919,0.198174611,0.002506082,15.19000905,17.18024933,17.72493469,17.85877775,18.14889312,,,,,,,,,,,,,,,,,,,
0.3125,5.686308722,1.776803395,0.54615625,0.201932695,0.002512327,15.03701104,17.13095541,17.7167339,17.85945881,18.1576512,,,,,,,,,,,,,,,,,,,
0.322916667,5.87840274,1.867722676,0.571549116,0.207378499,0.002519252,14.9315626,17.08436374,17.70697751,17.85946936,18.16485719,,,,,,,,,,,,,,,,,,,
0.3333333,6.01587036,1.948599875,0.598435393,0.214141024,0.002526846,14.85936388,17.04409555,17.69674536,17.85897057,18.1711008,,,,,,,,,,,,,,,,,,,
0.34375,6.793494607,2.30519939,0.722283046,0.250300024,0.002517335,14.46953574,16.86971063,17.64596014,17.84804772,18.17021916,,,,,,,,,,,,,,,,,,,
0.354166667,7.371381128,2.653243168,0.858864403,0.293476194,0.002543802,14.15414711,16.68336224,17.58393774,17.83306882,18.16902856,,,,,,,,,,,,,,,,,,,
0.364583333,7.772392837,2.957993452,0.998616734,0.34233732,0.002574004,13.95024383,16.52304738,17.51995089,17.81556035,18.16995893,,,,,,,,,,,,,,,,,,,
0.375,8.050507691,3.210569298,1.132682211,0.394605616,0.002606585,13.82169358,16.39401538,17.45894189,17.79635226,18.17236293,,,,,,,,,,,,,,,,,,,
0.385416667,9.435632249,4.154953588,1.596679056,0.579287635,0.00276475,13.21765652,15.92493412,17.25172022,17.72636237,18.1440775,,,,,,,,,,,,,,,,,,,
0.395833333,10.37098958,5.019056906,2.101606248,0.809384493,0.002991605,12.79227809,15.46541974,17.00731655,17.6298037,18.09181081,,,,,,,,,,,,,,,,,,,
0.40625,10.95791633,5.717778411,2.594931585,1.0703515,0.003285037,12.56583078,15.11239533,16.77189035,17.51923743,18.03907554,,,,,,,,,,,,,,,,,,,
0.416666667,11.32818637,6.25232617,3.040097729,1.34250119,0.003641938,12.44865357,14.86088633,16.56574855,17.40529744,17.99580519,,,,,,,,,,,,,,,,,,,
0.427083333,12.62645492,7.616727575,4.070118832,1.981932034,0.006575438,12.07045534,14.26934546,16.12056801,17.15498054,17.93548282,,,,,,,,,,,,,,,,,,,
0.4375,13.41569418,8.731885714,5.057384883,2.682350635,0.024450082,11.86331532,13.80896562,15.69761882,16.88189058,17.80407407,,,,,,,,,,,,,,,,,,,
