timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2
0.614583333,17.58769366,18.3577019,14.44510708,10.99848855,7.807899092,11.46659854,,,,
0.625,17.56745074,18.28988654,14.39393616,10.99189123,7.837089635,11.46454707,,,,
0.635416667,17.15830768,18.16167327,14.21221735,10.83104693,7.717817886,11.50315915,,,,
0.645833333,16.88861649,17.94054594,14.02966689,10.66232067,7.579654679,11.53553792,,,,
0.65625,16.71699262,17.72194316,13.83236673,10.48305096,7.426373849,11.55284839,,,,
0.666666667,16.59603793,17.53357216,13.63322343,10.29427608,7.259828563,11.56468954,,,,
0.677083333,16.15851125,17.31166194,13.3695492,10.02778293,7.014181516,11.62609311,,,,
0.6875,15.85170199,17.02888503,13.11160529,9.766642054,6.764601054,11.6756134,,,,
0.697916667,15.63349463,16.7564692,12.8503021,9.508149868,6.514517969,11.70926751,,,,
0.7083333,15.46406016,16.51552507,12.59545785,9.2525743,6.265629476,11.73383202,,,,
0.71875,14.98511281,16.24967831,12.27550686,8.923186372,5.94652804,11.81916008,,,,
0.729166667,14.63847456,15.92610665,11.9696207,8.608391676,5.635686086,11.89187488,,,,
0.739583333,14.38506763,15.61366199,11.66594801,8.304442648,5.335437711,11.94374033,,,,
0.75,14.18538365,15.33394887,11.37211958,8.009864124,5.046154543,11.98513908,,,,
0.760416667,13.51046542,14.97344147,11.10669565,7.753578131,4.79405143,12.1457864,,,,
0.770833333,13.06339361,14.54234087,10.79494401,7.492077039,4.550294802,12.2762725,,,,
0.78125,12.76361607,14.13684281,10.45097084,7.213219798,4.30807752,12.36584198,,,,
0.791666667,12.54945557,13.78816039,10.10355552,6.918338339,4.061747004,12.43056717,,,,
0.802083333,11.87933582,13.37124802,9.806792135,6.670874793,3.861095726,12.64207192,,,,
0.8125,11.45843024,12.90991635,9.457198817,6.40185533,3.651033761,12.80083253,,,,
0.822916667,11.1898817,12.49694789,9.081526926,6.105726727,3.427409204,12.90268455,,,,
0.8333333,11.00476187,12.15668697,8.714205851,5.791135104,3.189066905,12.9741026,,,,
0.84375,10.31980682,11.75599217,8.371652751,5.485035786,2.95207672,13.23640758,,,,
0.854166667,9.896641628,11.29834145,7.997182608,5.170099553,2.708473,13.42451444,,,,
0.864583333,9.630417846,10.8879963,7.607342265,4.841032686,2.458978471,13.54171232,,,,
0.875,9.447006337,10.55051401,7.232882031,4.505124447,2.205255244,13.62115858,,,,
0.885416667,8.737744936,10.15188937,6.86853484,4.167008521,1.946854206,13.91895573,,,,
0.895833333,8.298330841,9.684911244,6.479656379,3.831211489,1.696629793,14.1277831,,,,
0.90625,8.024086341,9.26316182,6.07728481,3.489959878,1.455537374,14.25791654,,,,
0.916666667,7.837990537,8.916212235,5.691470795,3.148276428,1.224759384,14.3447848,,,,
0.927083333,7.402022858,8.582261664,5.303575266,2.786264988,0.987117767,14.54276106,,,,
0.9375,7.119995963,8.236683362,4.942038512,2.448711683,0.779521849,14.6820965,,,,
0.947916667,6.934535876,7.934357095,4.605223178,2.137576797,0.60651144,14.77302476,,,,
0.9583333,6.803911873,7.686670573,4.303167603,1.857092737,0.46885369,14.83531276,,,,
0.96875,6.541692432,7.457547035,4.013067466,1.590119571,0.354404119,14.9570782,,,,
0.979166667,6.372736373,7.231587714,3.757291669,1.364662828,0.273603566,15.04165271,,,,
0.989583333,6.265930223,7.038563526,3.530510144,1.177351671,0.217413462,15.09465089,,,,
1,6.196932527,6.884286143,3.335211709,1.024941057,0.17844,15.1288923,,,,
1.010416667,5.910418801,6.750502503,2.96920008,0.758699819,0.117741452,15.27175874,,,,
1.020833333,5.723758224,6.575262727,2.700917476,0.580908064,0.093589467,15.37390559,,,,
1.03125,5.614855719,6.409591826,2.487819161,0.469973311,0.082980587,15.42941259,,,,
1.041666667,5.551966514,6.269663617,2.31612901,0.400315555,0.077887775,15.46074446,,,,
1.052083333,5.483604982,6.180933652,1.998118342,0.276302008,0.068498612,15.50333265,,,,
1.0625,5.43590742,6.094677561,1.790154665,0.219939793,0.067309377,15.53256019,,,,
1.072916667,5.409114244,6.021813848,1.652036042,0.194431539,0.068288235,15.54637325,,,,
1.0833333,5.394684849,5.963247486,1.56138772,0.182029215,0.070126158,15.55350602,,,,
1.09375,5.278866932,5.927912971,1.281993152,0.127312295,0.070053708,15.61202245,,,,
1.104166667,5.191780829,5.871057696,1.124394539,0.113905371,0.073441563,15.65878521,,,,
1.114583333,5.137412735,5.81129411,1.036108251,0.110715285,0.07756156,15.68518595,,,,
1.125,5.103967071,5.755362065,0.987678777,0.111220434,0.08195989,15.70078939,,,,
1.135416667,4.943417476,5.717201838,0.779822018,0.093076653,0.086591919,15.7726002,,,,
1.145833333,4.815788071,5.654318074,0.684408255,0.092536278,0.09277789,15.83412655,,,,
1.15625,4.728744198,5.583504633,0.6429632,0.095515822,0.09932737,15.87539715,,,,
1.166666667,4.670233454,5.512599105,0.625216022,0.099809054,0.105984898,15.90316342,,,,
1.177083333,4.74080894,5.478122751,0.507741409,0.096468222,0.113456087,15.87427361,,,,
1.1875,4.793777369,5.455458257,0.471362464,0.100463588,0.121554874,15.84715264,,,,
1.197916667,4.833169716,5.442686331,0.466840007,0.106227858,0.129732669,15.82527843,,,,
1.2083333,4.862204059,5.436752006,0.473338868,0.112503427,0.137760521,15.80891318,,,,
1.21875,4.838954688,5.440892871,0.421873916,0.115181027,0.146328309,15.81112889,,,,
1.229166667,4.810906552,5.438843716,0.414534694,0.121130244,0.154935247,15.82000502,,,,
1.239583333,4.789380457,5.433737262,0.420789416,0.127818084,0.163300965,15.82868908,,,,
1.25,4.773620545,5.42701687,0.430041166,0.134432594,0.171256442,15.83249166,,,,
1.260416667,4.884427081,5.430956709,0.419561038,0.139652769,0.179079927,15.77700859,,,,
1.270833333,4.966222017,5.4454588,0.424097221,0.145607171,0.186500283,15.7304078,,,,
