timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,,,,,,,,,,,,,,,,,,,,
0.322916667,2.481866554,0.328225411,0.205658726,0.230946832,0.264925497,17.68674186,18.86967329,18.97438703,18.99337641,18.16485719,,,,,,,,,,,,,,,,,,,,
0.3333333,2.546586975,0.335153393,0.205344968,0.230758181,0.265017279,17.6536128,18.865796,18.97451422,18.99381667,18.1711008,,,,,,,,,,,,,,,,,,,,
0.34375,3.321285166,0.47568809,0.215392139,0.22901064,0.263203834,17.26317811,18.78653143,18.9674369,18.99274983,18.17021916,,,,,,,,,,,,,,,,,,,,
0.354166667,3.795123386,0.584050256,0.224112017,0.227083727,0.261464081,17.05014397,18.74069888,18.96600977,18.99320646,18.16902856,,,,,,,,,,,,,,,,,,,,
0.364583333,4.075112599,0.655236583,0.228223695,0.224322217,0.259425459,16.90532375,18.70726605,18.96568984,18.99397658,18.16995893,,,,,,,,,,,,,,,,,,,,
0.375,4.241638662,0.699513941,0.228688295,0.220852406,0.257076311,16.81695955,18.68480686,18.96479186,18.99416184,18.17236293,,,,,,,,,,,,,,,,,,,,
0.385416667,5.748569167,1.266856507,0.314365114,0.222749888,0.250686408,16.10203425,18.41523112,18.92446784,18.98871133,18.1440775,,,,,,,,,,,,,,,,,,,,
0.395833333,6.613548377,1.779168779,0.417704844,0.229574482,0.244975821,15.74047673,18.20183746,18.89707057,18.98706988,18.09181081,,,,,,,,,,,,,,,,,,,,
0.40625,7.096254206,2.168122834,0.513066766,0.236017723,0.238549379,15.52748824,18.03675321,18.87267753,18.98633012,18.03907554,,,,,,,,,,,,,,,,,,,,
0.416666667,7.369150877,2.444898321,0.591974446,0.240295686,0.231189514,15.40934425,17.92336348,18.85008413,18.98380952,17.99580519,,,,,,,,,,,,,,,,,,,,
0.427083333,8.91606961,3.628662814,1.062541873,0.333465768,0.232433077,14.83059014,17.55718717,18.73911822,18.94991166,17.93548282,,,,,,,,,,,,,,,,,,,,
0.4375,9.713197866,4.63585454,1.615146491,0.47481625,0.246269008,14.61056593,17.33113204,18.66722474,18.92432636,17.80407407,,,,,,,,,,,,,,,,,,,,
0.447916667,10.10971606,5.353895108,2.15655128,0.652441993,0.271360617,14.50497159,17.20022914,18.61868877,18.897872,17.65004607,,,,,,,,,,,,,,,,,,,,
0.4583333,10.31059048,5.829387824,2.62628218,0.848446941,0.306706986,14.45197674,17.12994669,18.58775751,18.87171144,17.50991858,,,,,,,,,,,,,,,,,,,,
0.46875,10.94408931,6.55959809,3.301209772,1.210559585,0.402855559,14.30522455,17.04850922,18.55746409,18.83736535,17.36672916,,,,,,,,,,,,,,,,,,,,
