timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,,,,,,,,,,,,,,,,,,,
0.322916667,5.940535949,1.904061755,0.624812619,0.003979808,0.019380911,15.1855517,17.2187035,17.82567134,18.86191924,18.16485719,,,,,,,,,,,,,,,,,,,
0.3333333,6.083769324,1.988055894,0.653634186,0.004298456,0.042428283,15.11756779,17.17828133,17.81396833,18.86285135,18.1711008,,,,,,,,,,,,,,,,,,,
0.34375,6.872008466,2.350432535,0.778307019,0.005544068,0.05503078,14.74091011,17.01234918,17.76241473,18.84438681,18.17021916,,,,,,,,,,,,,,,,,,,
0.354166667,7.452921928,2.704423852,0.915788154,0.00766726,0.062783407,14.44479471,16.8344891,17.70000996,18.85378569,18.16902856,,,,,,,,,,,,,,,,,,,
0.364583333,7.855551322,3.015786606,1.056726406,0.013862984,0.069770415,14.25376233,16.67894993,17.63519486,18.85331749,18.16995893,,,,,,,,,,,,,,,,,,,
0.375,8.135307335,3.275560082,1.192399228,0.033787201,0.07665314,14.12680214,16.54991034,17.57242376,18.8593024,18.17236293,,,,,,,,,,,,,,,,,,,
0.385416667,9.534801284,4.233625521,1.659635472,0.154904532,0.079015122,13.5099132,16.10545332,17.37005989,18.7856557,18.1440775,,,,,,,,,,,,,,,,,,,
0.395833333,10.47006264,5.114413356,2.170432911,0.254731193,0.083247203,13.08590727,15.66107401,17.13017384,18.76079106,18.09181081,,,,,,,,,,,,,,,,,,,
0.40625,11.05085035,5.830616896,2.672959578,0.368150937,0.093808106,12.85438207,15.30795353,16.89442118,18.72551184,18.03907554,,,,,,,,,,,,,,,,,,,
0.416666667,11.41305498,6.380312519,3.129623129,0.492955439,0.109818779,12.72535357,15.04571704,16.68243533,18.6895787,17.99580519,,,,,,,,,,,,,,,,,,,
0.427083333,12.71759398,7.746201884,4.176579081,1.047108404,0.214134978,12.31520154,14.47697093,16.2461997,18.50996474,17.93548282,,,,,,,,,,,,,,,,,,,
0.4375,13.50737528,8.86257307,5.178452669,1.612626383,0.355083397,12.07836936,14.02563887,15.83156672,18.40956449,17.80407407,,,,,,,,,,,,,,,,,,,
0.447916667,13.95011812,9.669536377,6.050557247,2.216704846,0.548951168,11.96961085,13.74758051,15.50935992,18.33134364,17.65004607,,,,,,,,,,,,,,,,,,,
0.4583333,14.21131192,10.22639416,6.759067972,2.815888778,0.796648423,11.91520207,13.58446887,15.28332618,18.27687631,17.50991858,,,,,,,,,,,,,,,,,,,
0.46875,14.78641862,10.97540797,7.615290628,3.677827375,1.26863147,11.81170156,13.40918747,15.06624085,18.21409452,17.36672916,,,,,,,,,,,,,,,,,,,
0.479166667,15.17989684,11.57405286,8.337575591,4.441392405,1.788422813,11.73913235,13.28435368,14.91224451,18.18543093,17.2616235,,,,,,,,,,,,,,,,,,,
0.489583333,15.46525422,12.02133727,8.926121296,5.109437065,2.321643011,11.69730594,13.2051937,14.80919139,18.16600453,17.18834688,,,,,,,,,,,,,,,,,,,
0.5,15.70705309,12.36388176,9.395219202,5.676175053,2.836390626,11.66410857,13.15034988,14.73443484,18.15602841,17.13781433,,,,,,,,,,,,,,,,,,,
0.510416667,16.12791743,12.72578948,9.810704856,6.180311591,3.335629143,11.60700548,13.10399199,14.68511063,18.14144676,17.09983116,,,,,,,,,,,,,,,,,,,
0.520833333,16.45609561,13.0812202,10.18760847,6.606929907,3.780796647,11.56390353,13.0588434,14.64101123,18.13413552,17.07119418,,,,,,,,,,,,,,,,,,,
0.53125,16.72417834,13.39588135,10.5314666,6.979871468,4.173677627,11.53135967,13.02191152,14.60438144,18.12699088,17.04862736,,,,,,,,,,,,,,,,,,,
0.541666667,16.95393063,13.6687645,10.83963207,7.309994286,4.520636458,11.50361155,12.99241202,14.57364126,18.12379434,17.03056108,,,,,,,,,,,,,,,,,,,
0.552083333,17.07741674,13.79169009,11.00619984,7.486279262,4.73136547,11.49474979,12.98062515,14.55746454,18.12462456,17.01679666,,,,,,,,,,,,,,,,,,,
0.5625,17.19140576,13.90353492,11.14240247,7.638316101,4.905935199,11.48688083,12.97247686,14.54550521,18.1212697,17.00603862,,,,,,,,,,,,,,,,,,,
0.572916667,17.29963522,14.01214221,11.2623853,7.766525985,5.049690804,11.47521473,12.96248544,14.53461945,18.11905279,16.99701042,,,,,,,,,,,,,,,,,,,
0.5833333,17.39609803,14.11426986,11.37155235,7.876987353,5.168454745,11.46083466,12.95129423,14.52416682,18.11680429,16.98843367,,,,,,,,,,,,,,,,,,,
0.59375,17.04807694,13.98162713,11.33312684,7.837324855,5.158066613,11.48685476,12.95755683,14.52297744,18.12230285,16.98214051,,,,,,,,,,,,,,,,,,,
0.604166667,16.83768612,13.77816716,11.22816024,7.778447423,5.127009171,11.50805106,12.97208276,14.52614564,18.12088558,16.9768338,,,,,,,,,,,,,,,,,,,
0.614583333,16.72391668,13.59920571,11.08542199,7.683551924,5.070447156,11.51833764,12.98490021,14.53149317,18.1200482,16.97169733,,,,,,,,,,,,,,,,,,,
0.625,16.6570875,13.4632927,10.93836026,7.56008912,4.985473643,11.52192424,12.99390094,14.53742072,18.11917386,16.96694151,,,,,,,,,,,,,,,,,,,
0.635416667,16.20795253,13.15804956,10.6812754,7.294577997,4.773455894,11.57848478,13.02192098,14.553069,18.1266016,16.96333429,,,,,,,,,,,,,,,,,,,
0.645833333,15.9003086,12.82478454,10.39686321,7.02706261,4.542218301,11.62840236,13.06072086,14.57427715,18.12686088,16.96090301,,,,,,,,,,,,,,,,,,,
0.65625,15.69128101,12.53519165,10.10773606,6.749529394,4.295423407,11.6546369,13.09853883,14.59941622,18.12949071,16.95872134,,,,,,,,,,,,,,,,,,,
0.666666667,15.53324358,12.29953265,9.837636001,6.470217929,4.037331096,11.68335487,13.12510248,14.62205637,18.13503505,16.95722001,,,,,,,,,,,,,,,,,,,
0.677083333,15.0642742,11.9686857,9.524458783,6.125872113,3.71823823,11.76549243,13.17578226,14.65490992,18.1393091,16.95636355,,,,,,,,,,,,,,,,,,,
0.6875,14.72929607,11.62238041,9.207151474,5.797928207,3.401604213,11.83925084,13.23732209,14.69298894,18.14315174,16.95623058,,,,,,,,,,,,,,,,,,,
0.697916667,14.48471949,11.31712581,8.898613642,5.479946733,3.091962241,11.89251934,13.29545485,14.73460009,18.14829534,16.95694003,,,,,,,,,,,,,,,,,,,
0.7083333,14.29077856,11.06198217,8.614940727,5.176036704,2.792996009,11.93110867,13.34711716,14.77682301,18.15354668,16.95786161,,,,,,,,,,,,,,,,,,,
0.71875,13.79548515,10.70910814,8.287301353,4.810949338,2.449646109,12.04790683,13.42331284,14.82969092,18.16477521,16.95985249,,,,,,,,,,,,,,,,,,,
0.729166667,13.43790472,10.34788121,7.961922763,4.473337118,2.127343024,12.14874892,13.51538432,14.89031639,18.17266161,16.962754,,,,,,,,,,,,,,,,,,,
