timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,,,,,,,,,,,,,,,,,,,
0.354166667,7.241920415,1.148767106,0.25028033,0.226615669,0.280394183,14.630733,18.363049,18.8947058,18.96966928,,,,,,,,,,,,,,,,,,,
0.364583333,7.626288832,1.307166556,0.265915,0.223534881,0.277106128,14.44540418,18.285512,18.88897984,18.97006356,,,,,,,,,,,,,,,,,,,
0.375,7.89135956,1.426792884,0.276811479,0.219667213,0.273353079,14.31973433,18.22460495,18.88339697,18.96978923,,,,,,,,,,,,,,,,,,,
0.385416667,9.248371365,2.343748145,0.46578712,0.233071736,0.263789062,13.72788527,17.77682673,18.78678359,18.95652759,,,,,,,,,,,,,,,,,,,
0.395833333,10.15462382,3.07323722,0.664872187,0.254898726,0.255915616,13.32886937,17.44404122,18.71410568,18.95021058,,,,,,,,,,,,,,,,,,,
0.40625,10.71361942,3.6261117,0.853012863,0.278294136,0.24800001,13.10677109,17.19574351,18.64931051,18.945213,,,,,,,,,,,,,,,,,,,
0.416666667,11.05876693,4.031773455,1.020707129,0.30129478,0.240040234,12.97971553,17.01714249,18.59038968,18.93802335,,,,,,,,,,,,,,,,,,,
0.427083333,12.32745706,5.477498081,1.788977341,0.499885612,0.258124274,12.5802711,16.45083795,18.37847296,18.88217213,,,,,,,,,,,,,,,,,,,
0.4375,13.092038,6.539413635,2.572389391,0.773646025,0.302922693,12.35988234,16.11458743,18.24140142,18.84276463,,,,,,,,,,,,,,,,,,,
0.447916667,13.50933306,7.264253273,3.274803017,1.09639711,0.372015881,12.2577754,15.92287866,18.15827267,18.81182582,,,,,,,,,,,,,,,,,,,
0.4583333,13.73848109,7.740783495,3.853202891,1.437188427,0.463495676,12.20867255,15.81161187,18.1069172,18.7867143,,,,,,,,,,,,,,,,,,,
0.46875,14.25603689,8.5045567,4.654455576,1.993567488,0.6665244,12.10746426,15.65788101,18.05477277,18.75880054,,,,,,,,,,,,,,,,,,,
0.479166667,14.57555756,9.049085856,5.33237736,2.547485175,0.913297949,12.04746299,15.57987528,18.02774477,18.74476395,,,,,,,,,,,,,,,,,,,
0.489583333,14.77003613,9.41542212,5.862531833,3.058074138,1.190055719,12.01685587,15.52870106,18.0076113,18.73556084,,,,,,,,,,,,,,,,,,,
0.5,14.90923687,9.663292644,6.255141938,3.495078931,1.475362821,11.99381398,15.4954524,17.99482043,18.72944682,,,,,,,,,,,,,,,,,,,
0.510416667,15.21895468,9.929488906,6.583181661,3.876688322,1.766075072,11.94928125,15.45880527,17.98350616,18.7245029,,,,,,,,,,,,,,,,,,,
0.520833333,15.43844343,10.17505753,6.858329336,4.189113784,2.029333431,11.91668526,15.42972015,17.97560713,18.72104547,,,,,,,,,,,,,,,,,,,
0.53125,15.60379983,10.3770954,7.089531233,4.44780655,2.260764372,11.89231454,15.40652922,17.96839488,18.71814955,,,,,,,,,,,,,,,,,,,
0.541666667,15.73898968,10.54019696,7.27961526,4.661407259,2.460231929,11.87555177,15.38533661,17.96264891,18.71585474,,,,,,,,,,,,,,,,,,,
0.552083333,15.78452124,10.52738497,7.308931189,4.737024074,2.552620486,11.8734523,15.38945946,17.96194194,18.71596008,,,,,,,,,,,,,,,,,,,
