timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank5Nitrate,tank5Phosphate,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2
6.041666698842593,15.615354418932833,15.694497441371452,15.204949962267964,14.948940737769817,14.82242581616499,0.4931500970659784,0.9238297143380007,0.20885652721184855,0.2088664726997617,0.20891014690400841,0.20893975166742945,0.2089482735079057
6.048895333738426,15.56175660418132,15.637199531934009,15.167761924551394,14.930778379881383,14.815610661087405,0.5036558931890041,0.9272650395002354,0.20885871563581748,0.2088688484826517,0.208912040648694,0.20894071125233296,0.20894869163652274
6.057034568356482,15.488178342687426,15.574218555127956,15.126089547179252,14.909425639652909,14.807837597692354,0.5148910041874456,0.9311094471631703,0.208861835756858,0.20887145397999296,0.20891395372221933,0.20894175355200953,0.2089491561843981
6.065863798738426,15.394942439433363,15.504941304149334,15.080453000596114,14.885022747936747,14.798947691957268,0.5263118048693067,0.9351874482711637,0.20886590770331334,0.2088743389720547,0.20891592387745,0.20894288721232665,0.2089496813629598
6.073568652002315,15.303949202084496,15.441895366619912,15.039624576459799,14.862500740620373,14.790534022228316,0.5355836827837371,0.9386190846251008,0.20886996809881278,0.20887699703654855,0.20891763918188094,0.2089439084504426,0.20895017311751432
6.081309390613426,15.204869525759896,15.37500468460426,14.997062279927693,14.838527957986011,14.781237622439113,0.544214239756193,0.9419094886350404,0.20887446018729441,0.2088798576580691,0.208919412750068,0.20894498373408227,0.20895070795477108
6.0883237890740745,15.109360385037322,15.310905717280015,14.956375725746797,14.815316212028911,14.771865550363174,0.5516108793001848,0.944764152689076,0.20887885167893422,0.2088826341746661,0.2089211604476514,0.20894603631165404,0.20895124052587108
6.0959837104050925,14.999555156010603,15.237376766937368,14.9086564290309,14.787835729899314,14.760380897101728,0.559848207620941,0.9478541936041258,0.208883967559951,0.20888584066053345,0.20892338741368546,0.20894734276677585,0.20895189330305575
6.103392914988426,14.88844606627275,15.162817413869275,14.859631588970366,14.75924670154452,14.748068804666955,0.568041556532578,0.9508487042326894,0.2088891694208449,0.20888911066281024,0.20892575795058468,0.20894873373336628,0.208952583160241
6.111364509791667,14.764247955944318,15.079049668523867,14.804122456268422,14.726481304574714,14.733586347912143,0.57714486497125,0.9541141243162198,0.20889497928448023,0.20889280121160833,0.20892847515889196,0.20895033979328223,0.20895337947148115
6.1187923299537035,14.644850840128612,14.997980207606382,14.750090358786224,14.694267712368626,14.719038508181072,0.5859332990747217,0.9572363341306028,0.2089005420051885,0.20889638390292722,0.20893112871292477,0.2089519210240936,0.20895416750129048
6.125760491018519,14.53015756477435,14.919575511981819,14.697581289379741,14.662730554754772,14.704563090007063,0.5944706144623839,0.9602689608142084,0.208905856474509,0.20889985441156536,0.20893370541660095,0.20895346813249607,0.20895494448233212
6.132768640358797,14.410371483586262,14.837300237293999,14.64365677929332,14.629906751216481,14.689085196458805,0.6026451310406097,0.9632718891732089,0.2089113688580602,0.20890351788094122,0.208936176751224,0.20895502029301977,0.20895575358621682
6.140586455706019,14.270872653258099,14.740131600285348,14.581680432944877,14.591758946643099,14.670396249341907,0.6106944029760678,0.9664198437332335,0.20891778671365024,0.20890789312156444,0.2089388123025175,0.208956745094092,0.20895670819232615
6.148147950335648,14.131232644829142,14.640363111724906,14.518760955365495,14.552832660609685,14.650590401041228,0.6173778433960164,0.9692444382079888,0.20892424901145293,0.208912433225651,0.20894142440477423,0.20895847448157537,0.20895771536615082
6.156230253333334,13.977767816759634,14.5272299190508,14.447211400619333,14.508391252405826,14.627161031683332,0.6232945143009117,0.9720053853413423,0.2089314171986718,0.20891763428028548,0.20894440464822056,0.2089604481705034,0.20895890738171602
6.164023490347223,13.826255836491688,14.411771370363692,14.373199280632887,14.462130226621468,14.601954457787702,0.6277760769943934,0.9743966693245414,0.20893856975243605,0.20892299557854405,0.20894753142173106,0.20896251810560978,0.2089601886088226
6.171348732199074,13.683474378600867,14.298312259823865,14.298608143990249,14.415160399720948,14.575703503133473,0.631114001331135,0.9764526001544596,0.2089453828197027,0.20892830989937522,0.20895078603008405,0.20896465820139726,0.2089615249614368
6.179210794571759,13.539056646433638,14.174961694182189,14.213517261192582,14.36118455847519,14.545195314240024,0.6347128381477894,0.9787232213828513,0.2089523046881327,0.2089341069186576,0.2089547442324101,0.20896721566444823,0.2089630923417149
6.18622057693287,13.417106887593672,14.06519363280971,14.13421970137178,14.310103389782785,14.515989862079325,0.6380413099998588,0.9808390230189924,0.2089581493592052,0.20893927495290018,0.20895853810054482,0.20896968853305284,0.20896459235983617
6.193870965740741,13.289867464654973,13.946670436148636,14.04498702821057,14.251439813241415,14.481990407322934,0.6418414337628928,0.9832638514667296,0.2089642333999121,0.20894486136627508,0.2089628537502177,0.20897255743337825,0.20896633197840747
6.200959687037037,13.17639789540329,13.838625259586115,13.960596565754358,14.194676524740654,14.448574787094127,0.6455515536352904,0.9856347127551481,0.20896963845374386,0.2089499558453733,0.20896695407592625,0.2089753492156033,0.20896803681043502
6.208333298842593,13.062060663637936,13.728415449527935,13.87177937007385,14.13353282881289,14.411970321034024,0.6496352136468717,0.9882451100484022,0.20897505988737983,0.2089551506716376,0.208971277870149,0.20897836791648078,0.20896990267570892
6.215576841041667,12.954321049867486,13.619667382486341,13.783152781867324,14.070420097874187,14.372922907822359,0.6528048798140618,0.9906168929144749,0.20898013818246172,0.20896029087208778,0.20897538138591604,0.2089814141989688,0.20897186758856628
6.222828454872685,12.852667616372345,13.508226177712686,13.691639435450686,14.00270225223289,14.329059302174066,0.6540292883351422,0.9924230266286296,0.20898491928525734,0.20896560855378973,0.20897936310691692,0.20898458502951703,0.20897405296819788
6.230638908923611,12.750299661342838,13.386533539132747,13.58914095632897,13.924175891459251,14.275887004809256,0.6531498558040151,0.9936925866281331,0.20898977122960788,0.20897146524282817,0.20898375338944492,0.20898823067609956,0.20897670742212096
6.238301022256945,12.656555915473621,13.266733073630736,13.484276094996071,13.841032377351018,14.217173289794879,0.6500689663516366,0.9942194066548309,0.2089942790569756,0.20897727975446576,0.20898827319334737,0.20899210224405562,0.20897965116478653
