timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank5Nitrate,tank5Phosphate,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,tank1Nitrate,tank2Nitrate,tank3Nitrate,tank4Nitrate
1.804185955023148,15.754491636277598,16.02390825234207,15.704891999806675,15.525928876810145,15.421053507929663,0.39240559663953173,2.1298034295914117,0.20887647145320282,0.20887214392773512,0.20890359301682523,0.2089353031487786,0.20894817643552474,0.00624370199575038,0.00036751371837626736,0.11048169311960492,0.24598946439444552
1.8117616907523149,15.751425686689437,16.00502705943874,15.67556004767657,15.49015611195944,15.38733681583224,0.3949785755269131,2.1299042897017966,0.20887646539530896,0.2088729366221513,0.20890507211283765,0.20893713052653307,0.2089498727455277,0.006264914564738237,0.00037397579168807325,0.11128480501707298,0.24780818280145359
1.8188910568287038,15.752342284852379,15.992397610198081,15.65260043505906,15.459723702251358,15.356214779531689,0.39709652455651484,2.1300657566855543,0.20887630154128628,0.20887343350496848,0.2089061701946521,0.20893866459928462,0.2089514504728413,0.006246496030195786,0.00037612855332659184,0.11179386751854438,0.2491672706911014
1.82764189,15.757341376684503,15.982979697051448,15.630295979665231,15.42707769255658,15.319879478417334,0.39927009567632044,2.1304544762922992,0.20887594488413666,0.2088737600320152,0.2089071580839499,0.2089402805991868,0.20895330129430248,0.006194881640573739,0.000374836632598591,0.11216062247517201,0.25040579092921683
1.8347313787847221,15.764114063921191,15.979590559734962,15.616714032715691,15.40462133744399,15.292628716753205,0.40067783753897623,2.1309828941536986,0.20887554708525083,0.2088738318948155,0.20890769535761033,0.2089413661804266,0.20895469215070367,0.006142611698660465,0.0003718971261577705,0.112290367216361,0.2510945734694004
1.8418250345949074,15.775902283912453,15.979541884854658,15.607292391745046,15.386099261759469,15.267964025486151,0.40154073934972856,2.131707248798855,0.20887493090635464,0.20887375042045228,0.20890795601204917,0.2089422132660768,0.20895594656999197,0.006070322131812057,0.00036769175908536283,0.11213802856865235,0.251320048413485
1.8491594964351852,15.794204945869629,15.983620275329768,15.601710218426845,15.371173646319068,15.245626381024191,0.4017566706571987,2.132669753710346,0.2088740228417276,0.20887347834375125,0.20890796812807771,0.20894284406997038,0.20895708275345654,0.005941386377334262,0.0003608423989862557,0.11166435995548388,0.2510032631696585
1.8562341500462962,15.817153751113192,15.992028771766199,15.60010340172313,15.360674277581008,15.227322805105285,0.4013459500545903,2.133815630397782,0.2088729162609982,0.20887301589681825,0.20890776514346546,0.20894324088102198,0.20895801809666473,0.005791543218549266,0.00035235409159884616,0.11096912923194563,0.25022883407011287
1.8640138516550926,15.84782097517691,16.006562463801743,15.602577032368645,15.353375253967767,15.210981966419988,0.4002439775102702,2.1353219034109783,0.20887146308977925,0.20887227322727656,0.20890730766922738,0.20894345048963173,0.20895885718148044,0.005614386525055535,0.0003418761329213452,0.10999896724982716,0.24892212669647615
1.8729837944444445,15.889646738958062,16.030171051106414,15.610999995700137,15.350339009620315,15.197123972884109,0.39821458583793035,2.1373648391960307,0.20886951213580268,0.208871114117762,0.20890648071520013,0.2089434063995589,0.2089595712325158,0.005405767584492434,0.00032943200338002196,0.108684697058991,0.24692900498106976
